description,price,rating,review_count,url
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-6-35-4070/dp/B08CRCMD9J/ref=sr_1_60?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-60
Women Synthetic Sandals (41-3933),,,,https://www.amazon.in/Mochi-Blue-Navy-Synthetic-Sandals-41-3933-17-39/dp/B08XJYFZK5/ref=sr_1_61?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-61
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-32-1004/dp/B0843G953G/ref=sr_1_62?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-62
Womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-7-33-1011/dp/B081ZZTMW5/ref=sr_1_63?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-63
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-5-33-817/dp/B081RLDKNX/ref=sr_1_64?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-64
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-5-44-196/dp/B07MZB3YY5/ref=sr_1_65?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-65
Women's Beige Fashion,,,,https://www.amazon.in/Mochi-Womens-Formals-Lace-Up-Flats/dp/B01L7AUI6W/ref=sr_1_66?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-66
Maroon Outdoor Sandals - 6 UK (39 EU) (44-8565),,,,https://www.amazon.in/Mochi-Leather-Outdoor-Sandals-44-8565/dp/B084TJWK9X/ref=sr_1_67?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-67
Women's Tan Fashion Sandal,,,,https://www.amazon.in/Mochi-Women-Leather-Size-Euro40/dp/B079DQ77HN/ref=sr_1_68?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-68
Women's Contra Sandal,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01752021RK07ZAQK7DIF&url=%2FWomens-Contra-Sandal-Black-SANDAL%2Fdp%2FB08THQBFLB%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-69-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_mtf
womens Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0106737SXH1BLE1831O&url=%2FMochi-Womens-Fashion-Sandals-5-33-743%2Fdp%2FB08L5L7SQJ%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-70-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_mtf
Women's Mary Sandal,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01757823HOKOAGHBJ3BO&url=%2FBATA-Womens-MARY-Black-SANDAL%2Fdp%2FB08THT7X5D%2Fref%3Dsr_1_71_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-71-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_mtf
womens Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A059867320VACUU36QO7V&url=%2FMetro-Antique-Fashion-Sandals-34-9773%2Fdp%2FB08CRCKYF3%2Fref%3Dsr_1_72_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-72-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_mtf
